"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","1","5","0"
"","Задачи в репозитории","Авторизованный пользователь может создать задачу в репозитории","0","0","0","1","0"
"","Задачи в репозитории","Переход в репо с декоратором @allure.step","0","1","0","0","0"
"","Задачи в репозитории","Переход в репо","0","1","0","0","0"
"","Задачи в репозитории","Переход в репо с with allure.step","0","1","0","0","0"
